year,owner,km_driven,ex_showroom_price
2010,1,60000,23500.0
2015,1,5000,80821.0
2006,1,55000,15000.0
2017,1,27000,118997.0
2012,1,30000,35000.0
2013,1,43400,40000.0
2015,1,10000,120000.0
2014,1,21000,53415.0
2010,1,54000,30000.0
2013,1,6409,65000.0
2015,1,35280,51994.0
2014,1,60000,60000.0
2016,2,25000,88161.0
2018,1,8200,132680.0
2007,1,72000,12000.0
2016,1,7200,95955.0
2013,1,6900,150000.0
2017,1,35000,32000.0
2015,2,25000,181445.0
2014,2,35000,30000.0
2019,1,7000,57112.0
2019,1,10000,57557.0
2014,2,51000,86744.0
2014,1,13000,90000.0
2000,1,24000,10000.0
2017,1,26100,84480.0
2010,1,35000,78513.0
2019,1,5000,80000.0
2006,1,80000,15000.0
2016,1,40000,80435.0
2014,1,7000,59183.0
2013,1,46000,80000.0
2013,1,6000,82600.0
2013,2,20696,53900.0
2015,1,9800,95000.0
2013,1,30000,118997.0
2008,2,85000,22000.0
2013,1,15000,72973.0
2012,1,49999,28000.0
2007,1,80000,85011.0
2012,2,30000,49600.0
2017,1,26000,56147.0
2017,1,16000,117926.0
2015,2,24000,65000.0
2008,1,70889,28000.0
2017,2,40000,60000.0
2017,1,18000,125000.0
2014,2,37541,35000.0
2017,1,2500,61600.0
2017,1,25000,42000.0
2014,2,35000,35000.0
2012,1,32000,19000.0
2006,2,40000,25000.0
2014,1,13000,28000.0
2018,1,50000,48000.0
2013,1,75000,78700.0
2007,1,80000,20000.0
2012,1,38000,50267.0
2018,1,16000,40000.0
2013,1,18000,156304.0
2013,2,24000,23000.0
2019,1,10000,87042.0
2000,4,48000,10000.0
2009,1,50000,25000.0
2016,1,28000,50280.0
2012,1,28990,25500.0
2016,1,20000,50000.0
2018,1,7500,65000.0
2017,2,20000,80821.0
2014,1,14289,42859.0
2015,1,3000,54605.0
2017,1,14000,190000.0
2014,1,13000,99000.0
2011,1,30000,75502.0
2018,1,17000,70000.0
2009,1,46000,15000.0
2010,1,45000,64589.0
2007,1,17860,50267.0
2012,1,8150,35000.0
2017,1,26000,69750.0
2017,1,20000,66492.0
2015,1,12000,64071.0
2019,1,12657,75000.0
2011,1,28000,50267.0
2002,1,49000,27000.0
2018,1,7000,76632.0
2010,1,17000,20000.0
2017,1,27000,130000.0
2014,1,16145,37000.0
2019,1,6000,105000.0
2013,1,21000,85000.0
2013,1,28087,63537.0
2014,1,12077,208902.0
2008,3,65000,25000.0
2005,1,58000,8000.0
2019,1,3000,59422.0
2011,1,44000,78712.0
2009,1,14500,35000.0
2019,1,11000,54000.0
2012,2,49876,28700.0
2011,1,17000,24000.0
2017,1,5650,45000.0
2017,1,9000,65626.0
2010,1,48000,50000.0
2018,1,16000,70000.0
2016,1,26000,117926.0
2018,1,37000,30000.0
2011,1,47000,57549.0
2013,1,15000,60000.0
2010,1,35700,18000.0
2019,1,3000,55600.0
2007,1,70000,15000.0
2015,2,40000,49412.0
2016,1,29689,80435.0
2015,1,50000,92074.0
2018,1,12000,69000.0
2006,1,40000,46575.0
2005,2,40000,59000.0
2010,1,75000,71681.0
2014,1,40000,47186.0
2015,1,18000,54605.0
2014,1,14965,40000.0
2016,1,20000,60122.0
2014,1,77592,74295.0
2014,1,41311,81508.0
2018,1,13000,40000.0
2016,1,25000,88161.0
2014,1,60000,51000.0
2017,1,9432,53751.0
2015,1,30000,58000.0
2019,1,3500,95000.0
2012,1,15000,181445.0
2011,1,89000,30000.0
2018,2,35000,130000.0
2014,1,41000,78513.0
2018,1,11500,120000.0
2010,1,51000,42000.0
2012,3,44000,45000.0
2014,1,38000,35000.0
2018,1,13000,59844.0
2016,1,35000,65626.0
2002,2,66191,9000.0
2019,1,3200,93400.0
2008,1,54000,25000.0
2018,1,24000,94000.0
2014,1,38000,50267.0
2017,1,36000,125000.0
2014,1,25000,71150.0
2013,1,49000,85000.0
2018,1,26600,35000.0
2019,1,1300,95000.0
2013,1,55000,35000.0
2014,1,45000,49146.0
2018,1,7110,56147.0
2019,1,11800,81000.0
2008,1,38000,25000.0
2008,1,60000,15000.0
2015,1,22770,42000.0
2009,1,17500,85011.0
2017,1,23000,84000.0
2018,1,9600,95000.0
2012,1,22866,30000.0
2008,2,60000,85011.0
2013,1,20000,47032.0
2017,1,23000,50000.0
2013,1,60000,49412.0
2016,1,23000,82600.0
2015,2,24000,49900.0
2017,1,16600,95000.0
2017,1,38000,50000.0
2019,1,3500,130000.0
2016,1,45000,37000.0
2011,1,70000,57549.0
2006,1,27000,25000.0
2015,1,20000,54605.0
2016,1,19500,67187.0
2016,1,32000,78513.0
2012,1,28000,50000.0
2012,2,30000,65800.0
2016,1,27000,74295.0
2005,1,48000,12000.0
2015,1,36000,54605.0
2014,1,20000,30000.0
2017,1,19800,64750.0
2018,1,7000,58900.0
2016,1,12000,130000.0
1998,3,16500,65000.0
2017,1,26000,61545.0
2007,1,50000,85011.0
2010,1,20000,75502.0
2014,1,19000,199275.0
2012,2,5000,30000.0
2011,1,42000,30000.0
2016,1,10500,75000.0
2013,1,25000,46779.0
2013,1,20000,76572.0
2019,1,9000,59422.0
2009,1,50000,40000.0
2017,1,26000,147000.0
2017,1,14000,54000.0
2013,1,26000,86744.0
2015,2,40000,55000.0
2004,1,18000,15000.0
2008,1,7500,30000.0
2013,1,29500,50267.0
2014,1,1200,118997.0
2016,1,38500,30000.0
2019,1,2900,42000.0
2016,1,50000,47108.0
2017,1,14000,87543.0
2013,1,55750,35000.0
2008,1,66000,59183.0
2012,1,22000,52000.0
2017,1,46000,65000.0
2016,1,35000,85011.0
2006,2,36000,99000.0
2015,1,20000,84042.0
